months_as_customer,age,policy_number,policy_bind_date,policy_state,policy_csl,policy_deductable,policy_annual_premium,umbrella_limit,insured_zip,insured_sex,insured_education_level,insured_occupation,insured_hobbies,insured_relationship,capital-gains,capital-loss,incident_date,incident_type,collision_type,incident_severity,authorities_contacted,incident_state,incident_city,incident_location,incident_hour_of_the_day,number_of_vehicles_involved,property_damage,bodily_injuries,witnesses,police_report_available,total_claim_amount,injury_claim,property_claim,vehicle_claim,auto_make,auto_model,auto_year,fraud_reported,vehicle_id,location_id,zip_id,policy_id
328,48,521585,2014-10-17,OH,250/500,1000,1406.91,0,466132,Male,Md,Craft-Repair,Sleeping,Husband,53300,0,2015-01-25,Single Vehicle Collision,Side Collision,Major Damage,Police,Sc,Columbus,9935 4th Drive,5,1,Yes,1,2,Yes,71610,6510,13020,52080,Saab,92X,2004,1,Saab*92X*2004,Columbus_Sc,466132,521585
228,42,342868,2006-06-27,IN,250/500,2000,1197.22,5000000,468176,Male,Md,Machine-Op-Inspct,Reading,Other-Relative,0,0,2015-01-21,Vehicle Theft,?,Minor Damage,Police,Va,Riverwood,6608 MLK Hwy,8,1,?,0,0,?,5070,780,780,3510,Mercedes,E400,2007,1,Mercedes*E400*2007,Riverwood_Va,468176,342868
134,29,687698,2000-09-06,OH,100/300,2000,1413.14,5000000,430632,Female,Phd,Sales,Board-Games,Own-Child,35100,0,2015-02-22,Multi-Vehicle Collision,Rear Collision,Minor Damage,Police,Ny,Columbus,7121 Francis Lane,7,3,No,2,3,No,34650,7700,3850,23100,Dodge,Ram,2007,0,Dodge*Ram*2007,Columbus_Ny,430632,687698
256,41,227811,1990-05-25,IL,250/500,2000,1415.74,6000000,608117,Female,Phd,Armed-Forces,Board-Games,Unmarried,48900,-62400,2015-01-10,Single Vehicle Collision,Front Collision,Major Damage,Police,Oh,Arlington,6956 Maple Drive,5,1,?,1,2,No,63400,6340,6340,50720,Chevrolet,Tahoe,2014,1,Chevrolet*Tahoe*2014,Arlington_Oh,608117,227811
228,44,367455,2014-06-06,IL,500/1000,1000,1583.91,6000000,610706,Male,Associate,Sales,Board-Games,Unmarried,66000,-46000,2015-02-17,Vehicle Theft,?,Minor Damage,Nan,Ny,Arlington,3041 3rd Ave,20,1,No,0,1,No,6500,1300,650,4550,Accura,Rsx,2009,0,Accura*Rsx*2009,Arlington_Ny,610706,367455
256,39,104594,2006-10-12,OH,250/500,1000,1351.1,0,478456,Female,Phd,Tech-Support,Bungie-Jumping,Unmarried,0,0,2015-01-02,Multi-Vehicle Collision,Rear Collision,Major Damage,Fire,Sc,Arlington,8973 Washington St,19,3,No,0,2,No,64100,6410,6410,51280,Saab,95,2003,1,Saab*95*2003,Arlington_Sc,478456,104594
137,34,413978,2000-06-04,IN,250/500,1000,1333.35,0,441716,Male,Phd,Prof-Specialty,Board-Games,Husband,0,-77000,2015-01-13,Multi-Vehicle Collision,Front Collision,Minor Damage,Police,Ny,Springfield,5846 Weaver Drive,0,3,?,0,0,?,78650,21450,7150,50050,Nissan,Pathfinder,2012,0,Nissan*Pathfinder*2012,Springfield_Ny,441716,413978
165,37,429027,1990-02-03,IL,100/300,1000,1137.03,0,603195,Male,Associate,Tech-Support,Base-Jumping,Unmarried,0,0,2015-02-27,Multi-Vehicle Collision,Front Collision,Total Loss,Police,Va,Columbus,3525 3rd Hwy,23,3,?,2,2,Yes,51590,9380,9380,32830,Audi,A5,2015,0,Audi*A5*2015,Columbus_Va,603195,429027
27,33,485665,1997-02-05,IL,100/300,500,1442.99,0,601734,Female,Phd,Other-Service,Golf,Own-Child,0,0,2015-01-30,Single Vehicle Collision,Front Collision,Total Loss,Police,Wv,Arlington,4872 Rock Ridge,21,1,No,1,1,Yes,27700,2770,2770,22160,Toyota,Camry,2012,0,Toyota*Camry*2012,Arlington_Wv,601734,485665
212,42,636550,2011-07-25,IL,100/300,500,1315.68,0,600983,Male,Phd,Priv-House-Serv,Camping,Wife,0,-39300,2015-01-05,Single Vehicle Collision,Rear Collision,Total Loss,Other,Nc,Hillsdale,3066 Francis Ave,14,1,No,2,1,?,42300,4700,4700,32900,Saab,92X,1996,0,Saab*92X*1996,Hillsdale_Nc,600983,636550
